x	y
800.489	1.12733
800.49	1.12048
800.491	1.11364
800.492	1.10679
800.493	1.09994
800.494	1.09309
800.495	1.08624
800.496	1.07939
800.497	1.07254
800.498	1.06568
800.499	1.05882
800.5	1.05197
800.501	1.04511
800.502	1.03824
800.503	1.03138
800.504	1.02452
800.505	1.01765
800.506	1.01079
800.507	1.00392
800.508	0.99705
800.509	0.99018
800.51	0.98331
800.511	0.97644
800.512	0.96957
800.513	0.96269
800.514	0.95582
800.515	0.94894
800.516	0.94207
800.517	0.93519
800.518	0.92831
800.519	0.92143
800.52	0.91454
800.521	0.90766
800.522	0.90078
800.523	0.89389
800.524	0.887
800.525	0.88012
800.526	0.87323
800.527	0.86634
800.528	0.85945
800.529	0.85256
800.53	0.84567
800.531	0.83877
800.532	0.83188
800.533	0.82499
800.534	0.81809
800.535	0.81119
800.536	0.8043
800.537	0.7974
800.538	0.79049
800.539	0.78359
800.54	0.77669
800.541	0.76979
800.542	0.76288
800.543	0.75598
800.544	0.74907
800.545	0.74216
800.546	0.73525
800.547	0.72834
800.548	0.72143
800.549	0.71452
800.55	0.7076
800.551	0.70069
800.552	0.69377
800.553	0.68685
800.554	0.67994
800.555	0.67302
800.556	0.6661
800.557	0.65918
800.558	0.65226
800.559	0.64534
800.56	0.63842
800.561	0.63149
800.562	0.62457
800.563	0.61765
800.564	0.61072
800.565	0.60379
800.566	0.59687
800.567	0.58994
800.568	0.58301
800.569	0.57609
800.57	0.56916
800.571	0.56223
800.572	0.5553
800.573	0.54837
800.574	0.54144
800.575	0.5345
800.576	0.52757
800.577	0.52064
800.578	0.51371
800.579	0.50677
800.58	0.49984
800.581	0.4929
800.582	0.48596
800.583	0.47903
800.584	0.47209
800.585	0.46515
800.586	0.45821
800.587	0.45127
800.588	0.44433
800.589	0.43739
800.59	0.43045
800.591	0.4235
800.592	0.41656
800.593	0.40961
800.594	0.40267
800.595	0.39572
800.596	0.38878
800.597	0.38183
800.598	0.37489
800.599	0.36794
800.6	0.361
800.601	0.35405
800.602	0.34711
800.603	0.34016
800.604	0.33321
800.605	0.32626
800.606	0.31932
800.607	0.31237
800.608	0.30542
800.609	0.29847
800.61	0.29152
800.611	0.28457
800.612	0.27762
800.613	0.27067
800.614	0.26372
800.615	0.25677
800.616	0.24982
800.617	0.24287
800.618	0.23592
800.619	0.22897
800.62	0.22202
800.621	0.21507
800.622	0.20811
800.623	0.20116
800.624	0.19421
800.625	0.18726
800.626	0.18031
800.627	0.17336
800.628	0.1664
800.629	0.15945
800.63	0.1525
800.631	0.14554
800.632	0.13859
800.633	0.13163
800.634	0.12468
800.635	0.11772
800.636	0.11077
800.637	0.10381
800.638	0.09686
800.639	0.0899
800.64	0.08294
800.641	0.07599
800.642	0.06903
800.643	0.06207
800.644	0.05512
800.645	0.04816
800.646	0.04121
800.647	0.03425
800.648	0.02729
800.649	0.02033
800.65	0.01338
800.651	0.00642
800.652	-5.37561E-4
800.653	-0.0075
800.654	-0.01445
800.655	-0.02141
800.656	-0.02837
800.657	-0.03533
800.658	-0.04229
800.659	-0.04924
800.66	-0.0562
800.661	-0.06316
800.662	-0.07012
800.663	-0.07708
800.664	-0.08404
800.665	-0.09099
800.666	-0.09795
800.667	-0.10491
800.668	-0.11186
800.669	-0.11882
800.67	-0.12578
800.671	-0.13274
800.672	-0.13969
800.673	-0.14665
800.674	-0.1536
800.675	-0.16056
800.676	-0.16752
800.677	-0.17447
800.678	-0.18142
800.679	-0.18838
800.68	-0.19533
800.681	-0.20228
800.682	-0.20924
800.683	-0.21619
800.684	-0.22314
800.685	-0.23009
800.686	-0.23704
800.687	-0.244
800.688	-0.25095
800.689	-0.2579
800.69	-0.26485
800.691	-0.2718
800.692	-0.27875
800.693	-0.2857
800.694	-0.29265
800.695	-0.2996
800.696	-0.30655
800.697	-0.3135
800.698	-0.32045
800.699	-0.3274
800.7	-0.33435
800.701	-0.3413
800.702	-0.34825
800.703	-0.35519
800.704	-0.36214
800.705	-0.36909
800.706	-0.37604
800.707	-0.38299
800.708	-0.38994
800.709	-0.39688
800.71	-0.40383
800.711	-0.41078
800.712	-0.41773
800.713	-0.42467
800.714	-0.43162
